0;0;1
0;1;1
1;0;3
2;0;1
2;1;1
2;2;1
2;3;1
2;4;1
2;5;1
2;6;1
0;0;1
0;2;1
0;3;1
0;4;1
0;5;1
0;6;1
0;7;1
1;8;1
0;8;1
2;8;1
2;8;1
3;8;1
4;8;1
5;8;1
6;8;1
7;8;1
8;8;1
9;8;1
10;8;1
11;8;1
12;8;1
13;8;1
15;8;1
2;6;1
3;6;1
4;6;1
5;6;1
6;6;1
7;6;1
8;6;1
9;6;1
10;6;1
11;6;1
12;6;1
13;6;1
14;6;1
15;6;1
15;7;1
15;9;1
15;10;1
15;11;1
15;12;1
15;13;1
15;14;1
15;15;1
15;16;1
15;17;1
15;18;1
15;19;1
15;20;1
15;21;1
15;22;1
15;23;1
15;24;1
15;25;1
13;25;1
14;25;2
13;24;1
13;23;1
13;22;1
13;21;1
13;20;1
13;19;1
13;18;1
13;17;1
13;16;1
13;15;1
13;14;1
13;13;1
13;12;1
13;11;1
13;10;1
13;9;1
